image,tile_x,tile_y,hue,saturation,value
32.jpg,0,1,22,132,133
32.jpg,1,1,23,134,124
32.jpg,2,1,42,225,159
32.jpg,3,1,41,214,155
32.jpg,4,1,43,159,62
32.jpg,0,2,22,152,133
32.jpg,1,2,25,109,137
32.jpg,2,2,23,117,124
32.jpg,3,2,41,206,161
32.jpg,4,2,35,57,87
32.jpg,0,3,22,146,125
32.jpg,1,3,23,130,122
32.jpg,2,3,26,63,142
32.jpg,3,3,44,194,155
32.jpg,4,3,42,209,154
32.jpg,0,4,26,245,200
32.jpg,1,4,26,240,199
32.jpg,2,4,26,228,198
32.jpg,3,4,26,230,197
32.jpg,4,4,25,233,186
33.jpg,0,0,35,203,95
33.jpg,1,0,26,250,159
33.jpg,2,0,108,248,116
33.jpg,3,0,108,253,146
33.jpg,4,0,108,245,118
33.jpg,0,1,26,253,159
33.jpg,1,1,25,246,151
33.jpg,2,1,22,70,95
33.jpg,3,1,25,247,167
33.jpg,4,1,50,101,42
33.jpg,0,2,108,248,116
33.jpg,1,2,26,247,163
33.jpg,2,2,29,80,103
33.jpg,3,2,48,120,37
33.jpg,4,2,50,122,39
33.jpg,0,3,108,252,139
33.jpg,1,3,46,167,36
33.jpg,2,3,48,150,38
33.jpg,3,3,43,143,40
33.jpg,4,3,18,168,133
33.jpg,0,4,108,252,146
33.jpg,1,4,45,168,36
33.jpg,2,4,25,254,170
33.jpg,3,4,25,254,173
33.jpg,4,4,18,182,132
34.jpg,0,0,23,104,87
34.jpg,1,0,20,157,78
34.jpg,2,0,21,41,91
34.jpg,3,0,46,238,106
34.jpg,4,0,44,218,112
34.jpg,0,1,21,119,73
34.jpg,1,1,25,255,163
34.jpg,2,1,25,250,162
34.jpg,3,1,45,201,107
34.jpg,4,1,40,214,92
34.jpg,0,2,22,103,85
34.jpg,1,2,24,64,32
34.jpg,2,2,26,252,166
34.jpg,3,2,25,250,163
34.jpg,4,2,25,250,165
34.jpg,0,3,22,118,80
34.jpg,1,3,43,231,113
34.jpg,2,3,25,243,167
34.jpg,3,3,42,89,44
34.jpg,4,3,25,245,156
34.jpg,0,4,47,136,40
34.jpg,1,4,42,220,111
34.jpg,2,4,25,247,169
34.jpg,3,4,24,40,29
34.jpg,4,4,108,252,140
35.jpg,0,0,20,78,80
35.jpg,1,0,25,241,166
35.jpg,2,0,60,78,37
35.jpg,3,0,60,83,38
35.jpg,4,0,57,85,37
35.jpg,0,1,21,35,104
35.jpg,1,1,36,97,44
35.jpg,2,1,49,109,38
35.jpg,3,1,108,250,116
35.jpg,4,1,108,255,153
35.jpg,0,2,25,246,172
35.jpg,1,2,25,254,171
35.jpg,2,2,30,51,100
35.jpg,3,2,109,253,147
35.jpg,4,2,109,255,151
35.jpg,0,3,25,252,174
35.jpg,1,3,25,254,172
35.jpg,2,3,25,246,160
35.jpg,3,3,108,255,157
35.jpg,4,3,109,255,153
35.jpg,0,4,23,92,52
35.jpg,1,4,22,67,24
35.jpg,2,4,22,44,29
35.jpg,3,4,24,64,30
35.jpg,4,4,21,106,91
36.jpg,0,0,25,254,181
36.jpg,1,0,34,167,50
36.jpg,2,0,40,158,44
36.jpg,3,0,43,161,43
36.jpg,4,0,21,120,89
36.jpg,0,1,24,249,174
36.jpg,1,1,25,251,182
36.jpg,2,1,44,166,47
36.jpg,3,1,30,55,103
36.jpg,4,1,40,219,130
36.jpg,0,2,40,226,129
36.jpg,1,2,25,249,177
36.jpg,2,2,40,168,49
36.jpg,3,2,36,149,50
36.jpg,4,2,43,212,133
36.jpg,0,3,107,254,171
36.jpg,1,3,34,180,57
36.jpg,2,3,35,170,54
36.jpg,3,3,41,221,128
36.jpg,4,3,42,226,130
36.jpg,0,4,107,253,168
36.jpg,1,4,25,252,174
36.jpg,2,4,108,253,148
36.jpg,3,4,37,222,97
36.jpg,4,4,108,253,137
37.jpg,0,0,35,199,93
37.jpg,1,0,26,250,160
37.jpg,2,0,108,244,109
37.jpg,3,0,108,253,139
37.jpg,4,0,108,241,117
37.jpg,0,1,26,255,159
37.jpg,1,1,25,246,142
37.jpg,2,1,22,88,89
37.jpg,3,1,25,250,167
37.jpg,4,1,50,105,41
37.jpg,0,2,108,247,113
37.jpg,1,2,26,249,160
37.jpg,2,2,31,149,65
37.jpg,3,2,45,138,36
37.jpg,4,2,46,144,38
37.jpg,0,3,108,251,136
37.jpg,1,3,43,170,36
37.jpg,2,3,46,158,38
37.jpg,3,3,42,156,40
37.jpg,4,3,19,187,132
37.jpg,0,4,108,252,142
37.jpg,1,4,43,178,36
37.jpg,2,4,25,255,170
37.jpg,3,4,25,254,173
37.jpg,4,4,18,200,130
38.jpg,0,0,24,102,85
38.jpg,1,0,21,164,74
38.jpg,2,0,23,112,66
38.jpg,3,0,46,228,103
38.jpg,4,0,45,203,115
38.jpg,0,1,21,130,80
38.jpg,1,1,25,255,164
38.jpg,2,1,25,252,165
38.jpg,3,1,45,195,111
38.jpg,4,1,39,200,95
38.jpg,0,2,22,109,84
38.jpg,1,2,24,67,41
38.jpg,2,2,25,252,167
38.jpg,3,2,25,249,164
38.jpg,4,2,25,249,167
38.jpg,0,3,22,134,80
38.jpg,1,3,43,234,114
38.jpg,2,3,25,242,168
38.jpg,3,3,42,83,45
38.jpg,4,3,24,240,155
38.jpg,0,4,45,146,40
38.jpg,1,4,41,222,112
38.jpg,2,4,25,246,171
38.jpg,3,4,24,49,36
38.jpg,4,4,108,252,142
39.jpg,0,0,21,78,80
39.jpg,1,0,25,240,168
39.jpg,2,0,57,83,38
39.jpg,3,0,57,88,40
39.jpg,4,0,53,96,38
39.jpg,0,1,22,38,106
39.jpg,1,1,34,111,45
39.jpg,2,1,48,123,39
39.jpg,3,1,108,243,108
39.jpg,4,1,109,255,155
39.jpg,0,2,25,245,173
39.jpg,1,2,25,253,171
39.jpg,2,2,26,84,67
39.jpg,3,2,109,252,138
39.jpg,4,2,109,255,153
39.jpg,0,3,25,252,176
39.jpg,1,3,25,254,175
39.jpg,2,3,25,248,160
39.jpg,3,3,108,255,160
39.jpg,4,3,108,255,156
39.jpg,0,4,22,112,70
39.jpg,1,4,22,69,30
39.jpg,2,4,23,53,32
39.jpg,3,4,23,71,36
39.jpg,4,4,22,99,93
4.jpg,0,0,105,240,144
4.jpg,1,0,26,239,196
4.jpg,2,0,26,240,189
4.jpg,3,0,23,112,130
4.jpg,4,0,26,247,191
4.jpg,0,1,105,250,159
4.jpg,1,1,26,242,190
4.jpg,2,1,37,228,140
4.jpg,3,1,44,204,145
4.jpg,4,1,26,247,190
4.jpg,0,2,106,253,164
4.jpg,1,2,26,239,194
4.jpg,2,2,26,250,193
4.jpg,3,2,26,235,190
4.jpg,4,2,26,243,189
4.jpg,0,3,105,240,142
4.jpg,1,3,26,235,192
4.jpg,2,3,26,246,191
4.jpg,3,3,37,166,60
4.jpg,4,3,35,163,58
4.jpg,0,4,105,253,173
4.jpg,1,4,105,254,173
4.jpg,2,4,30,62,123
4.jpg,3,4,106,254,165
4.jpg,4,4,106,253,163
40.jpg,0,0,25,252,182
40.jpg,1,0,34,166,52
40.jpg,2,0,40,155,45
40.jpg,3,0,43,149,44
40.jpg,4,0,21,112,95
40.jpg,0,1,24,248,172
40.jpg,1,1,25,248,183
40.jpg,2,1,45,153,44
40.jpg,3,1,35,63,67
40.jpg,4,1,40,208,128
40.jpg,0,2,40,228,128
40.jpg,1,2,25,251,173
40.jpg,2,2,40,168,47
40.jpg,3,2,36,156,46
40.jpg,4,2,43,216,120
40.jpg,0,3,108,253,138
40.jpg,1,3,35,172,37
40.jpg,2,3,36,150,34
